primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
primary-teal(#0D8390),primary-grey(#222222),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
primary-red(#DE3535),primary-grey(#222222),primary-teal(#0D8390),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
primary-blue(#E6F4FD),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
primary-green(#25BE55),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
primary-yellow(#F5E47F),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
grey-500(#767676),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-100(#F6F6F6),teal-300(#1ECAC7),white(#FFFFFF)
grey-100(#F6F6F6),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),teal-300(#1ECAC7),white(#FFFFFF)
teal-300(#1ECAC7),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),white(#FFFFFF)
white(#FFFFFF),primary-grey(#222222),primary-teal(#0D8390),primary-red(#DE3535),primary-blue(#E6F4FD),primary-green(#25BE55),primary-yellow(#F5E47F),grey-500(#767676),grey-100(#F6F6F6),teal-300(#1ECAC7)
